japanese,chinese
子供の頃の夢と現在の自分について話してみましょう,聊聊童年的梦想和现在的自己
もし1日だけ超能力が使えるとしたら何をしますか？,如果有一天能使用超能力，你会做什么？
人生で最も影響を受けた本や映画について教えてください,请分享对你人生影响最大的书籍或电影
10年後の自分はどんな人になっていたいですか？,你希望10年后的自己变成什么样的人？
もし無人島に3つだけ持って行けるとしたら何を選びますか？,如果到无人岛只能带三样东西，你会选择什么？
今まで経験した中で最も勇気が必要だったことは何ですか？,到目前为止，你经历过的最需要勇气的事情是什么？
理想的な1日の過ごし方について話してみましょう,聊聊你理想中的一天是怎样度过的
もし時間を戻せるとしたら、どの瞬間に戻りたいですか？,如果能让时间倒流，你最想回到哪个时刻？
人生で最も大切にしている価値観は何ですか？,你人生中最重视的价值观是什么？
もし世界中どこでも住めるとしたら、どこに住みたいですか？,如果可以在世界任何地方居住，你想住在哪里？
今の自分にアドバイスをするとしたら何と言いますか？,如果要给现在的自己一个建议，你会说什么？
人生で最も感動した瞬間について教えてください,请分享你人生中最感动的时刻
もし魔法が使えるとしたら、世界をどう変えたいですか？,如果你会魔法，你想如何改变这个世界？
今までで最も困難だった挑戦とその結果について話してください,聊聊你遇到过的最困难的挑战和结果
もし1億円もらえるとしたら何に使いますか？,如果得到一亿日元，你会用来做什么？
人生で最も学んだことがある失敗経験について教えてください,请分享你从失败中学到最多的经历
理想の友人関係について話してみましょう,聊聊你理想中的友谊关系
もし今日が人生最後の日だとしたら何をしますか？,如果今天是人生的最后一天，你会做什么？
自分の性格で最も好きな部分と変えたい部分は何ですか？,你最喜欢自己性格的哪个部分？最想改变哪个部分？
人生で最も印象に残っている旅行について話してください,请分享你人生中印象最深刻的旅行经历
もし歴史上の人物と会えるとしたら誰に会いたいですか？,如果能见到历史人物，你最想见谁？
今の社会で最も解決したい問題は何ですか？,你认为当今社会最需要解决的问题是什么？
人生で最も誇りに思う瞬間について教えてください,请分享你人生中最引以为豪的时刻
もし動物と話せるとしたら、どの動物と何について話したいですか？,如果能和动物对话，你想和什么动物聊什么？
自分らしさとは何だと思いますか？,你认为什么是真正的自己？
